ts	phase	decision	why	evidence	result
2026-09-17T15:16:29Z	scope	Fix runtime contracts and evaluation correctness before live iteration 1	Avoid spending the twenty-iteration budget on known structural defects	synthetic-journal-evaluation/reports/librarian-rerun-2026-09-17/investigation.md	implementation started
2026-09-17T15:35:43Z	implementation	Bound search scope to application context; retain competing private evidence and audit current source mappings	Fix off-by-one permissions, candidate loss, and invalid or incomplete review outputs without weakening release gates	design-integration.md; design-boundary.md; design-review.md; reports/librarian-fixes-2026-09-17/design-retrieval.md	Implemented; live behavior still unverified
2026-09-17T15:35:43Z	local-validation	Ran the complete local suite after integrating contract migrations	Verify controlled callers and scope/release invariants before paid evaluation	/private/tmp/linger-full-tests-2.log	1590 tests and 630 subtests passed
2026-09-17T15:45:24Z	live-1	Started the complete eleven-suite live batch on the frozen runtime	Measure all eligible scenarios, notebook cases, release cases and outside-source smoke after local validation	iteration-01-73c20b0c/reservation.json; local-tests-integrated.log	1/20 reserved;1594 tests and633 subtests passed;live results pending
2026-09-17T16:01:05Z	live-1	Completed all eleven suites; reviewed every saved Scene and component case	Separate repaired retrieval and ambiguity behavior from new repair-contract failures and expectation mismatches	iteration-01-73c20b0c/summary.json; iteration-01-73c20b0c/component-analysis.md; native Scene analysis reports	17/29 Scenes pass;11/12 cases in each component pass;no complete-suite pass;runtime hashes unchanged
2026-09-17T16:01:05Z	repair-1	Replace duplicated source-use inventory with an independent unmapped-claims scan and retain every named-source support audit	Live audits falsely demanded duplicate mappings for overlapping sources, split sentences, and already declared quotations; generic feedback exhausted repair	iteration-01-73c20b0c/suite-6.json; iteration-01-73c20b0c/suite-8.json; iteration-01-73c20b0c/suite-10.json; iteration-01-73c20b0c/smoke-analysis.md	Implementation in progress;no live result yet
2026-09-17T16:04:35Z	live-2	Started six targeted suites after live-discovered repairs	Verify nested boundary repair, simpler source audits, exact connection IDs, source-neutral grading and authorized search continuation	iteration-02-e65ec438/reservation.json; local-tests-before-iteration-02.log	2/20 reserved;1628 tests and633 subtests passed;live results pending
2026-09-17T16:13:41Z	iteration-2	Targeted batch finished; Hume and smoke passed, four suites still have failures	Separate actual boundary and response-repair defects from strict expectation mismatches before another live run	synthetic-journal-evaluation/reports/librarian-fixes-2026-09-17/iteration-02-e65ec438/summary.json	2 of 20 iterations used; no gold changes
2026-09-17T16:19:00Z	repair-2	Restrict unavailable boundary outputs and repair all known structural faults together; distinguish source contribution and exact quote equality	Iteration2 exposed avoidable false negatives despite correct retrieved passages; preserve independent semantic and release checks	iteration-02-e65ec438/suite-4.json,iteration-02-e65ec438/suite-12.json,iteration-02-e65ec438/suite-6.json	Implementation and focused checks in progress; retry budgets unchanged
2026-09-17T16:24:26Z	verification	Boundary and Provenance repair checks pass; derived quote facts are recomputed and wire schemas are fingerprinted	Avoid false passage grants, sequential repair exhaustion and invented whitespace mismatches without changing semantic release authority	tests/test_boundary_output_selection.py,tests/test_boundary_inventory_repair.py,tests/test_provenance_quote_checks.py,tests/test_runtime_skills.py	134 boundary tests plus29 subtests;197 Provenance tests plus86 subtests;wire checks32 passed;no live result yet
2026-09-17T16:30:01Z	local-validation	Retained the sandboxed test failure and reran localhost review-server tests with binding permission	Five tests failed only at socket bind with EPERM; do not misreport the first full run as green	local-tests-before-iteration-03.log,local-review-tests-iteration-03.log	31 review-server tests passed; full integrated run pending
2026-09-17T16:30:53Z	live-3	Started the complete eleven-suite live batch after all local checks passed	Verify combined boundary repair, mechanical quote facts, joint source support, full fitting reranker pairs, and selected nested retrieval together	local-tests-integrated-iteration-03.log,iteration-03-4715c97d/reservation.json	1656 tests and633 subtests passed;3 of20 iterations reserved;runtime frozen;live pending
2026-09-17T16:34:30Z	audit	Preserved the early temporary test log and indexed native analysis artifacts	Independent audit found weak or temporary evidence pointers; keep historical rows intact and add durable exact references	local-tests-early-integration.log,report-index.json,audit-notes.md	Early1590-test result preserved; integrated1656-test log is current; remote telemetry read-back remains unverified
2026-09-17T16:44:54Z	live-3	Completed the third full eleven-suite batch; no all-pass claim	Separate strict support expectations from remaining source-audit transcription, mapping repair and no-preview response defects	iteration-03-4715c97d/summary.json,iteration-03-4715c97d/smoke-analysis.md	3/20 used;Douglass andsmoke pass;runtime hashes unchanged;all original expectations retained
2026-09-17T16:49:37Z	live-4	Started targeted fourth iteration after replacing copied audit IDs with canonical indices and simplifying whole-response repairs	Verify remaining Roses,Hume,Keller and release failures without changing gold or retry budgets	local-tests-before-iteration-04.log,iteration-04-797d2eda/reservation.json,repair-3-design.md	1664 tests and633 subtests pass;4/20 reserved;no all-pass claim;runtime frozen
2026-09-17T17:00:51Z	live-4	Completed the fourth targeted batch with unchanged runtime hashes	Distinguish recovered release paths from fixed-key failures and semantic limitations that mechanical grades miss	iteration-04-797d2eda/summary.json,iteration-04-797d2eda/component-analysis.md	Keller4/4 and Hume3/3 pass; release11/12 mechanically pass; Roses remains failed;4/20 used;no commit or push
2026-09-17T17:03:46Z	repair-4	Clarified existing reflection and no-evidence review rules without adding stages or retries	Iteration4 passed causal speculation and later-event implications as ordinary reflection; Roses quotation and Farm proof mismatches require separate expectation decisions	iteration-4-roses-investigation.md,iteration-04-797d2eda/component-analysis.md,src/linger/agents/provenance/skills/candidate-review/SKILL.md	Focused Provenance checks52pass;full local check pending;no expectation changes
2026-09-17T17:04:52Z	verification	Restored the explicit prohibition on implying later chapters were searched	The full local run caught that this instruction had been dropped while refining the no-evidence wording; preserve both constraints	local-tests-before-iteration-05.log,local-prompt-checks-iteration-05.log	Initial full run1663pass1fail;focused repaired checks59pass41subtests;integrated recheck running
2026-09-17T17:06:22Z	live-5	Started the full eleven-suite fifth iteration on frozen runtime sources	Verify integrated fixes and inspect semantic answers after clarifying personal hypotheses and bounded search misses	local-tests-integrated-iteration-05.log,iteration-05-8f52910d/reservation.json	1664 tests633subtests pass;5/20 reserved;all original expectations retained;live pending
2026-09-17T17:24:39Z	live-5	Completed the full fifth batch; retained all failures and reviewed every Scene	New actual source-binding and review-coverage failures remain distinct from strict evidence-set expectations; future-Cat draft was rejected before release	iteration-05-8f52910d/summary.json,iteration-05-8f52910d/component-analysis.md,iteration-05-8f52910d/smoke-analysis.md,repair-5-design.md	5/20used;Pigeon,Keller,smoke mechanically pass;runtime hashes unchanged;no all-pass or commit claim
2026-09-17T17:29:15Z	repair-5	Implemented exact boundary quote binding and application-derived response coverage and joint-claim groups	Iteration5 attached a valid wrong-source ID to remembered teaching and missed or misread response source declarations; keep all review and grant gates	repair-5-design.md,design-boundary-source-binding.md,local-boundary-source-binding.log,local-tests-before-iteration-06.log,local-driver-checks-iteration-06.log,local-mapping-adapter-checks.log	Focused boundary211+42 andProvenance144+39pass;independentreview68+8pass;fullrun17stale-mockfailures being migrated;no new provider calls
2026-09-17T17:31:02Z	integration	Migrated old mocked review outputs to the explicit coverage contract and corrected misleading spoiler fallback wording	The full suite exposed17 mocks without coverage; preserve their intended decisions and invalid cases rather than weakening validation. A blocked safe-scope answer must not claim progress is unknown	local-tests-before-iteration-06.log,local-root-integration-mocks.log,src/linger/orchestration/reflection.py,tests/test_revision_review.py	Root88+36 andworker112+8focusedtests pass;full integrated recheck running;fallback text no longer asserts unknown progress
